downtime_id,machine_id,downtime_start,downtime_end,downtime_reason,downtime_hours
1,3,2026-07-20 06:00:00,2026-07-20 09:28:48,Mechanical Failure,3.48
2,2,2026-07-21 16:00:00,2026-07-21 18:08:24,Electrical Issue,2.14
3,4,2026-07-21 20:00:00,2026-07-21 21:01:12,Mechanical Failure,1.02
4,1,2026-07-22 13:00:00,2026-07-22 15:02:24,Mechanical Failure,2.04
5,3,2026-07-22 19:00:00,2026-07-22 19:34:12,Testing Error,0.57
6,1,2026-07-23 10:00:00,2026-07-23 11:06:00,Testing Error,1.1
7,2,2026-07-23 21:00:00,2026-07-23 21:46:12,Electrical Issue,0.77
8,2,2026-07-24 11:00:00,2026-07-24 14:13:48,Electrical Issue,3.23
9,3,2026-07-24 17:00:00,2026-07-24 18:27:36,Mechanical Failure,1.46
10,4,2026-07-24 12:00:00,2026-07-24 15:56:24,Machine Adjustment,3.94
11,1,2026-07-25 13:00:00,2026-07-25 14:46:12,Electrical Issue,1.77
12,3,2026-07-27 07:00:00,2026-07-27 09:09:00,Testing Error,2.15
13,2,2026-07-29 18:00:00,2026-07-29 21:36:36,Material Shortage,3.61
14,3,2026-07-29 08:00:00,2026-07-29 11:04:48,Electrical Issue,3.08
15,4,2026-07-30 11:00:00,2026-07-30 14:29:24,Calibration,3.49
16,2,2026-07-31 07:00:00,2026-07-31 10:39:36,Calibration,3.66
17,3,2026-08-02 09:00:00,2026-08-02 11:51:00,Mechanical Failure,2.85
18,3,2026-08-03 20:00:00,2026-08-03 22:36:00,Mechanical Failure,2.6
19,3,2026-08-04 13:00:00,2026-08-04 15:12:00,Calibration,2.2
20,4,2026-08-05 17:00:00,2026-08-05 20:09:36,Machine Adjustment,3.16
21,4,2026-08-07 06:00:00,2026-08-07 08:17:24,Testing Error,2.29
22,3,2026-08-08 21:00:00,2026-08-08 21:37:12,Testing Error,0.62
23,3,2026-08-09 21:00:00,2026-08-09 21:40:12,Electrical Issue,0.67
24,5,2026-08-10 12:00:00,2026-08-10 12:56:24,Material Shortage,0.94
25,5,2026-08-12 06:00:00,2026-08-12 07:19:12,Mechanical Failure,1.32
26,3,2026-08-13 13:00:00,2026-08-13 16:46:12,Mechanical Failure,3.77
27,4,2026-08-15 21:00:00,2026-08-15 23:24:00,Testing Error,2.4
28,3,2026-08-16 13:00:00,2026-08-16 14:36:00,Machine Adjustment,1.6
29,2,2026-08-17 21:00:00,2026-08-17 23:04:48,Electrical Issue,2.08
30,3,2026-08-17 14:00:00,2026-08-17 15:20:24,Electrical Issue,1.34
31,1,2026-08-18 13:00:00,2026-08-18 15:09:00,Machine Adjustment,2.15
32,5,2026-08-18 13:00:00,2026-08-18 16:21:36,Machine Adjustment,3.36
