maintenance_id,equipment_id,maintenance_date,maintenance_type,maintenance_status,downtime_hours,maintenance_cost
1,5,2026-07-25,Preventive,Completed,1.03,4534.96
2,2,2026-07-27,Corrective,Completed,5.4,8731.18
3,3,2026-07-27,Preventive,Completed,1.18,4547.77
4,2,2026-07-28,Routine Inspection,Completed,1.3,1758.16
5,4,2026-07-29,Routine Inspection,Completed,0.86,1860.77
6,5,2026-07-29,Routine Inspection,Completed,1.19,2066.3
7,1,2026-07-31,Corrective,Completed,5.38,9108.13
8,5,2026-08-03,Routine Inspection,In Progress,1.11,1903.05
9,4,2026-08-05,Routine Inspection,Completed,1.47,2078.7
10,1,2026-08-08,Preventive,In Progress,1.36,3048.84
11,3,2026-08-08,Preventive,Completed,2.04,4985.4
12,5,2026-08-14,Preventive,In Progress,1.01,5924.24
13,3,2026-08-18,Corrective,Completed,4.26,11478.27
