log_id,production_id,machine_id,employee_id,log_date,quantity_produced
1,1,1,1,2025-08-24,969
2,2,1,1,2025-08-24,944
3,3,1,1,2025-08-24,940
4,4,2,2,2025-08-24,890
5,5,2,2,2025-08-24,963
6,6,2,2,2025-08-24,930
7,7,3,3,2025-08-24,781
8,8,3,3,2025-08-24,821
9,9,3,3,2025-08-24,809
10,10,4,4,2025-08-24,903
11,11,4,4,2025-08-24,939
12,12,4,4,2025-08-24,992
13,13,5,5,2025-08-24,988
14,14,5,5,2025-08-24,920
15,15,5,5,2025-08-24,908
16,16,1,1,2025-08-25,954
17,17,1,1,2025-08-25,925
18,18,1,1,2025-08-25,938
19,19,2,2,2025-08-25,899
20,20,2,2,2025-08-25,857
21,21,2,2,2025-08-25,932
22,22,3,3,2025-08-25,751
23,23,3,3,2025-08-25,746
24,24,3,3,2025-08-25,807
25,25,4,4,2025-08-25,1009
26,26,4,4,2025-08-25,986
27,27,4,4,2025-08-25,975
28,28,5,5,2025-08-25,917
29,29,5,5,2025-08-25,911
30,30,5,5,2025-08-25,972
31,31,1,1,2025-08-26,962
32,32,1,1,2025-08-26,934
33,33,1,1,2025-08-26,922
34,34,2,2,2025-08-26,924
35,35,2,2,2025-08-26,941
36,36,2,2,2025-08-26,937
37,37,3,3,2025-08-26,766
38,38,3,3,2025-08-26,787
39,39,3,3,2025-08-26,780
40,40,4,4,2025-08-26,972
41,41,4,4,2025-08-26,1012
42,42,4,4,2025-08-26,1034
43,43,5,5,2025-08-26,944
44,44,5,5,2025-08-26,904
45,45,5,5,2025-08-26,928
46,46,1,1,2025-08-27,1012
47,47,1,1,2025-08-27,953
48,48,1,1,2025-08-27,938
49,49,2,2,2025-08-27,891
50,50,2,2,2025-08-27,914
51,51,2,2,2025-08-27,867
52,52,3,3,2025-08-27,779
53,53,3,3,2025-08-27,836
54,54,3,3,2025-08-27,813
55,55,4,4,2025-08-27,983
56,56,4,4,2025-08-27,1018
57,57,4,4,2025-08-27,951
58,58,5,5,2025-08-27,916
59,59,5,5,2025-08-27,941
60,60,5,5,2025-08-27,940
61,61,1,1,2025-08-28,893
62,62,1,1,2025-08-28,933
63,63,1,1,2025-08-28,943
64,64,2,2,2025-08-28,916
65,65,2,2,2025-08-28,910
66,66,2,2,2025-08-28,897
67,67,3,3,2025-08-28,723
68,68,3,3,2025-08-28,798
69,69,3,3,2025-08-28,802
70,70,4,4,2025-08-28,1078
71,71,4,4,2025-08-28,972
72,72,4,4,2025-08-28,992
73,73,5,5,2025-08-28,975
74,74,5,5,2025-08-28,960
75,75,5,5,2025-08-28,986
76,76,1,1,2025-08-29,893
77,77,1,1,2025-08-29,910
78,78,1,1,2025-08-29,927
