target_id,machine_id,target_date,target_quantity
1,1,2026-07-20,998
2,1,2026-07-20,1012
3,1,2026-07-20,1003
4,2,2026-07-20,873
5,2,2026-07-20,907
6,2,2026-07-20,912
7,3,2026-07-20,811
8,3,2026-07-20,821
9,3,2026-07-20,816
10,4,2026-07-20,1009
11,4,2026-07-20,998
12,4,2026-07-20,966
13,5,2026-07-20,958
14,5,2026-07-20,954
15,5,2026-07-20,955
16,1,2026-07-21,974
17,1,2026-07-21,978
18,1,2026-07-21,1021
19,2,2026-07-21,899
20,2,2026-07-21,913
21,2,2026-07-21,900
22,3,2026-07-21,800
23,3,2026-07-21,818
24,3,2026-07-21,789
25,4,2026-07-21,1001
26,4,2026-07-21,990
27,4,2026-07-21,991
28,5,2026-07-21,943
29,5,2026-07-21,954
30,5,2026-07-21,940
31,1,2026-07-22,1025
32,1,2026-07-22,982
33,1,2026-07-22,996
34,2,2026-07-22,891
35,2,2026-07-22,928
36,2,2026-07-22,903
37,3,2026-07-22,820
38,3,2026-07-22,770
39,3,2026-07-22,805
40,4,2026-07-22,1017
41,4,2026-07-22,1001
42,4,2026-07-22,1021
43,5,2026-07-22,939
44,5,2026-07-22,978
45,5,2026-07-22,995
46,1,2026-07-23,992
47,1,2026-07-23,991
48,1,2026-07-23,1029
49,2,2026-07-23,931
50,2,2026-07-23,889
51,2,2026-07-23,891
52,3,2026-07-23,794
53,3,2026-07-23,773
54,3,2026-07-23,781
55,4,2026-07-23,979
56,4,2026-07-23,984
57,4,2026-07-23,999
58,5,2026-07-23,954
59,5,2026-07-23,981
60,5,2026-07-23,930
61,1,2026-07-24,1019
62,1,2026-07-24,995
63,1,2026-07-24,999
64,2,2026-07-24,913
65,2,2026-07-24,877
66,2,2026-07-24,907
67,3,2026-07-24,803
68,3,2026-07-24,809
69,3,2026-07-24,805
70,4,2026-07-24,1049
71,4,2026-07-24,987
72,4,2026-07-24,989
73,5,2026-07-24,937
74,5,2026-07-24,938
75,5,2026-07-24,937
76,1,2026-07-25,1023
77,1,2026-07-25,1028
78,1,2026-07-25,988
79,2,2026-07-25,883
80,2,2026-07-25,909
81,2,2026-07-25,888
82,3,2026-07-25,812
83,3,2026-07-25,804
84,3,2026-07-25,769
85,4,2026-07-25,1030
86,4,2026-07-25,1035
87,4,2026-07-25,987
88,5,2026-07-25,942
89,5,2026-07-25,955
90,5,2026-07-25,956
91,1,2026-07-26,1013
92,1,2026-07-26,1040
93,1,2026-07-26,996
94,2,2026-07-26,884
95,2,2026-07-26,872
96,2,2026-07-26,885
97,3,2026-07-26,799
98,3,2026-07-26,835
99,3,2026-07-26,789
100,4,2026-07-26,1004
101,4,2026-07-26,999
102,4,2026-07-26,1023
103,5,2026-07-26,1000
104,5,2026-07-26,939
105,5,2026-07-26,940
106,1,2026-07-27,1020
107,1,2026-07-27,1013
108,1,2026-07-27,1036
109,2,2026-07-27,911
110,2,2026-07-27,892
111,2,2026-07-27,911
112,3,2026-07-27,822
113,3,2026-07-27,816
114,3,2026-07-27,810
115,4,2026-07-27,1021
116,4,2026-07-27,1023
117,4,2026-07-27,1027
118,5,2026-07-27,962
119,5,2026-07-27,946
120,5,2026-07-27,952
121,1,2026-07-28,1024
122,1,2026-07-28,983
123,1,2026-07-28,1007
124,2,2026-07-28,892
125,2,2026-07-28,900
126,2,2026-07-28,925
127,3,2026-07-28,803
128,3,2026-07-28,800
129,3,2026-07-28,772
130,4,2026-07-28,1014
131,4,2026-07-28,1012
132,4,2026-07-28,1043
133,5,2026-07-28,943
134,5,2026-07-28,954
135,5,2026-07-28,954
136,1,2026-07-29,1031
137,1,2026-07-29,998
138,1,2026-07-29,1005
139,2,2026-07-29,912
140,2,2026-07-29,903
141,2,2026-07-29,891
142,3,2026-07-29,803
143,3,2026-07-29,821
144,3,2026-07-29,779
145,4,2026-07-29,1002
146,4,2026-07-29,985
147,4,2026-07-29,1023
148,5,2026-07-29,919
149,5,2026-07-29,938
150,5,2026-07-29,957
151,1,2026-07-30,1031
152,1,2026-07-30,998
153,1,2026-07-30,988
154,2,2026-07-30,937
155,2,2026-07-30,871
156,2,2026-07-30,856
157,3,2026-07-30,808
158,3,2026-07-30,789
159,3,2026-07-30,779
160,4,2026-07-30,1014
161,4,2026-07-30,1004
162,4,2026-07-30,988
163,5,2026-07-30,924
164,5,2026-07-30,967
165,5,2026-07-30,963
166,1,2026-07-31,998
167,1,2026-07-31,1036
168,1,2026-07-31,978
169,2,2026-07-31,869
170,2,2026-07-31,886
171,2,2026-07-31,899
172,3,2026-07-31,804
173,3,2026-07-31,795
174,3,2026-07-31,807
175,4,2026-07-31,974
176,4,2026-07-31,1028
177,4,2026-07-31,998
178,5,2026-07-31,972
179,5,2026-07-31,956
180,5,2026-07-31,959
181,1,2026-08-01,1011
182,1,2026-08-01,1008
183,1,2026-08-01,1012
184,2,2026-08-01,926
185,2,2026-08-01,903
186,2,2026-08-01,914
187,3,2026-08-01,798
188,3,2026-08-01,828
189,3,2026-08-01,786
190,4,2026-08-01,1036
191,4,2026-08-01,999
192,4,2026-08-01,971
193,5,2026-08-01,952
194,5,2026-08-01,936
195,5,2026-08-01,966
196,1,2026-08-02,986
197,1,2026-08-02,991
198,1,2026-08-02,962
199,2,2026-08-02,890
200,2,2026-08-02,851
201,2,2026-08-02,868
202,3,2026-08-02,815
203,3,2026-08-02,815
204,3,2026-08-02,808
205,4,2026-08-02,980
206,4,2026-08-02,999
207,4,2026-08-02,999
208,5,2026-08-02,926
209,5,2026-08-02,980
210,5,2026-08-02,967
211,1,2026-08-03,995
212,1,2026-08-03,1000
213,1,2026-08-03,1004
214,2,2026-08-03,859
215,2,2026-08-03,895
216,2,2026-08-03,886
217,3,2026-08-03,779
218,3,2026-08-03,794
219,3,2026-08-03,835
220,4,2026-08-03,1012
221,4,2026-08-03,988
222,4,2026-08-03,1011
223,5,2026-08-03,977
224,5,2026-08-03,968
225,5,2026-08-03,951
226,1,2026-08-04,987
227,1,2026-08-04,1013
228,1,2026-08-04,1007
229,2,2026-08-04,917
230,2,2026-08-04,912
231,2,2026-08-04,920
232,3,2026-08-04,789
233,3,2026-08-04,826
234,3,2026-08-04,803
235,4,2026-08-04,1041
236,4,2026-08-04,986
237,4,2026-08-04,1034
238,5,2026-08-04,953
239,5,2026-08-04,936
240,5,2026-08-04,940
241,1,2026-08-05,993
242,1,2026-08-05,1008
243,1,2026-08-05,1010
244,2,2026-08-05,888
245,2,2026-08-05,899
246,2,2026-08-05,942
247,3,2026-08-05,834
248,3,2026-08-05,808
249,3,2026-08-05,800
250,4,2026-08-05,1002
251,4,2026-08-05,1012
252,4,2026-08-05,979
253,5,2026-08-05,944
254,5,2026-08-05,916
255,5,2026-08-05,957
256,1,2026-08-06,1012
257,1,2026-08-06,990
258,1,2026-08-06,1031
259,2,2026-08-06,875
260,2,2026-08-06,870
261,2,2026-08-06,904
262,3,2026-08-06,820
263,3,2026-08-06,833
264,3,2026-08-06,790
265,4,2026-08-06,1021
266,4,2026-08-06,999
267,4,2026-08-06,996
268,5,2026-08-06,967
269,5,2026-08-06,963
270,5,2026-08-06,918
271,1,2026-08-07,1029
272,1,2026-08-07,1027
273,1,2026-08-07,987
274,2,2026-08-07,907
275,2,2026-08-07,909
276,2,2026-08-07,905
277,3,2026-08-07,788
278,3,2026-08-07,786
279,3,2026-08-07,799
280,4,2026-08-07,1023
281,4,2026-08-07,1010
282,4,2026-08-07,992
283,5,2026-08-07,965
284,5,2026-08-07,893
285,5,2026-08-07,972
286,1,2026-08-08,965
287,1,2026-08-08,992
288,1,2026-08-08,977
289,2,2026-08-08,874
290,2,2026-08-08,923
291,2,2026-08-08,890
292,3,2026-08-08,806
293,3,2026-08-08,799
294,3,2026-08-08,809
295,4,2026-08-08,1001
296,4,2026-08-08,974
297,4,2026-08-08,1019
298,5,2026-08-08,940
299,5,2026-08-08,918
300,5,2026-08-08,941
301,1,2026-08-09,1030
302,1,2026-08-09,1017
303,1,2026-08-09,993
304,2,2026-08-09,893
305,2,2026-08-09,893
306,2,2026-08-09,941
307,3,2026-08-09,807
308,3,2026-08-09,808
309,3,2026-08-09,820
310,4,2026-08-09,1004
311,4,2026-08-09,994
312,4,2026-08-09,996
313,5,2026-08-09,948
314,5,2026-08-09,949
315,5,2026-08-09,964
316,1,2026-08-10,1001
317,1,2026-08-10,1014
318,1,2026-08-10,998
319,2,2026-08-10,901
320,2,2026-08-10,860
321,2,2026-08-10,918
322,3,2026-08-10,806
323,3,2026-08-10,819
324,3,2026-08-10,742
325,4,2026-08-10,1041
326,4,2026-08-10,997
327,4,2026-08-10,1022
328,5,2026-08-10,929
329,5,2026-08-10,962
330,5,2026-08-10,928
331,1,2026-08-11,987
332,1,2026-08-11,1038
333,1,2026-08-11,996
334,2,2026-08-11,904
335,2,2026-08-11,917
336,2,2026-08-11,909
337,3,2026-08-11,803
338,3,2026-08-11,807
339,3,2026-08-11,848
340,4,2026-08-11,998
341,4,2026-08-11,1004
342,4,2026-08-11,1021
343,5,2026-08-11,972
344,5,2026-08-11,973
345,5,2026-08-11,962
346,1,2026-08-12,977
347,1,2026-08-12,1032
348,1,2026-08-12,977
349,2,2026-08-12,906
350,2,2026-08-12,884
351,2,2026-08-12,898
352,3,2026-08-12,806
353,3,2026-08-12,806
354,3,2026-08-12,808
355,4,2026-08-12,1032
356,4,2026-08-12,1009
357,4,2026-08-12,995
358,5,2026-08-12,969
359,5,2026-08-12,973
360,5,2026-08-12,925
361,1,2026-08-13,1011
362,1,2026-08-13,1014
363,1,2026-08-13,994
364,2,2026-08-13,927
365,2,2026-08-13,896
366,2,2026-08-13,902
367,3,2026-08-13,796
368,3,2026-08-13,800
369,3,2026-08-13,778
370,4,2026-08-13,971
371,4,2026-08-13,1031
372,4,2026-08-13,983
373,5,2026-08-13,930
374,5,2026-08-13,906
375,5,2026-08-13,937
376,1,2026-08-14,973
377,1,2026-08-14,1032
378,1,2026-08-14,1020
379,2,2026-08-14,886
380,2,2026-08-14,945
381,2,2026-08-14,919
382,3,2026-08-14,793
383,3,2026-08-14,750
