quality_id,production_id,inspection_date,defect_type,defect_count,quality_status
1,1,2025-08-24,Solder Defect,20,Fail
2,2,2025-08-24,Solder Defect,16,Fail
3,3,2025-08-24,Missing Component,3,Pass
4,4,2025-08-24,Component Misplacement,21,Fail
5,5,2025-08-24,Overheating,2,Pass
6,6,2025-08-24,Overheating,19,Fail
7,7,2025-08-24,Solder Defect,3,Pass
8,8,2025-08-24,Solder Defect,6,Pass
9,9,2025-08-24,PCB Damage,11,Pass
10,10,2025-08-24,Missing Component,7,Pass
11,11,2025-08-24,Overheating,8,Pass
12,12,2025-08-24,Overheating,5,Pass
13,13,2025-08-24,Missing Component,4,Pass
14,14,2025-08-24,PCB Damage,10,Pass
15,15,2025-08-24,Solder Defect,17,Fail
16,16,2025-08-25,Solder Defect,3,Pass
17,17,2025-08-25,Component Misplacement,20,Fail
18,18,2025-08-25,Missing Component,6,Pass
19,19,2025-08-25,Component Misplacement,1,Pass
20,20,2025-08-25,Solder Defect,21,Fail
21,21,2025-08-25,Component Misplacement,7,Pass
22,22,2025-08-25,PCB Damage,9,Pass
23,23,2025-08-25,Overheating,22,Fail
24,24,2025-08-25,PCB Damage,19,Fail
25,25,2025-08-25,Solder Defect,3,Pass
26,26,2025-08-25,Overheating,5,Pass
27,27,2025-08-25,Overheating,11,Pass
28,28,2025-08-25,Missing Component,6,Pass
29,29,2025-08-25,Component Misplacement,7,Pass
30,30,2025-08-25,Missing Component,9,Pass
31,31,2025-08-26,Missing Component,3,Pass
32,32,2025-08-26,PCB Damage,20,Fail
33,33,2025-08-26,Component Misplacement,2,Pass
34,34,2025-08-26,Component Misplacement,15,Fail
35,35,2025-08-26,Component Misplacement,15,Fail
36,36,2025-08-26,Missing Component,4,Pass
37,37,2025-08-26,Solder Defect,15,Fail
38,38,2025-08-26,Missing Component,6,Pass
39,39,2025-08-26,Component Misplacement,3,Pass
40,40,2025-08-26,Component Misplacement,7,Pass
41,41,2025-08-26,Missing Component,23,Fail
42,42,2025-08-26,Solder Defect,15,Fail
43,43,2025-08-26,Overheating,21,Fail
44,44,2025-08-26,Overheating,9,Pass
45,45,2025-08-26,Solder Defect,10,Pass
46,46,2025-08-27,PCB Damage,15,Fail
47,47,2025-08-27,Solder Defect,4,Pass
48,48,2025-08-27,Solder Defect,12,Pass
49,49,2025-08-27,Solder Defect,6,Pass
50,50,2025-08-27,PCB Damage,12,Pass
51,51,2025-08-27,Solder Defect,14,Pass
52,52,2025-08-27,Component Misplacement,9,Pass
53,53,2025-08-27,Missing Component,21,Fail
54,54,2025-08-27,Component Misplacement,3,Pass
55,55,2025-08-27,Overheating,12,Pass
56,56,2025-08-27,Missing Component,14,Pass
57,57,2025-08-27,Component Misplacement,7,Pass
58,58,2025-08-27,Solder Defect,14,Pass
59,59,2025-08-27,Overheating,2,Pass
60,60,2025-08-27,Overheating,8,Pass
61,61,2025-08-28,Component Misplacement,5,Pass
62,62,2025-08-28,PCB Damage,7,Pass
63,63,2025-08-28,PCB Damage,17,Fail
64,64,2025-08-28,Component Misplacement,13,Pass
65,65,2025-08-28,Component Misplacement,16,Fail
66,66,2025-08-28,Component Misplacement,8,Pass
67,67,2025-08-28,Component Misplacement,7,Pass
68,68,2025-08-28,Solder Defect,3,Pass
69,69,2025-08-28,Component Misplacement,3,Pass
70,70,2025-08-28,Missing Component,9,Pass
71,71,2025-08-28,Solder Defect,5,Pass
72,72,2025-08-28,Overheating,8,Pass
73,73,2025-08-28,Solder Defect,6,Pass
74,74,2025-08-28,Missing Component,18,Fail
75,75,2025-08-28,Overheating,17,Fail
76,76,2025-08-29,Missing Component,6,Pass
