sensor_id,machine_id,sensor_type,sensor_value,unit,recorded_at
1,1,Temperature,66.49,°C,2025-08-24 08:00:00
2,1,Vibration,3.13,mm/s,2025-08-24 08:00:00
3,1,Temperature,62.62,°C,2025-08-24 14:00:00
4,1,Vibration,3.21,mm/s,2025-08-24 14:00:00
5,1,Temperature,65.77,°C,2025-08-24 22:00:00
6,1,Vibration,2.95,mm/s,2025-08-24 22:00:00
7,2,Temperature,64.42,°C,2025-08-24 08:00:00
8,2,Vibration,2.8,mm/s,2025-08-24 08:00:00
9,2,Temperature,69.73,°C,2025-08-24 14:00:00
10,2,Vibration,3.55,mm/s,2025-08-24 14:00:00
11,2,Temperature,63.38,°C,2025-08-24 22:00:00
12,2,Vibration,3.29,mm/s,2025-08-24 22:00:00
13,3,Temperature,82.39,°C,2025-08-24 08:00:00
14,3,Vibration,4.77,mm/s,2025-08-24 08:00:00
15,3,Temperature,84.28,°C,2025-08-24 14:00:00
16,3,Vibration,4.88,mm/s,2025-08-24 14:00:00
17,3,Temperature,84.15,°C,2025-08-24 22:00:00
18,3,Vibration,4.5,mm/s,2025-08-24 22:00:00
19,4,Temperature,63.1,°C,2025-08-24 08:00:00
20,4,Vibration,2.97,mm/s,2025-08-24 08:00:00
21,4,Temperature,69.46,°C,2025-08-24 14:00:00
22,4,Vibration,2.48,mm/s,2025-08-24 14:00:00
23,4,Temperature,56.64,°C,2025-08-24 22:00:00
24,4,Vibration,2.4,mm/s,2025-08-24 22:00:00
25,5,Temperature,67.1,°C,2025-08-24 08:00:00
26,5,Vibration,2.58,mm/s,2025-08-24 08:00:00
27,5,Temperature,68.01,°C,2025-08-24 14:00:00
28,5,Vibration,2.46,mm/s,2025-08-24 14:00:00
29,5,Temperature,69.52,°C,2025-08-24 22:00:00
30,5,Vibration,2.12,mm/s,2025-08-24 22:00:00
31,1,Temperature,73.71,°C,2025-08-25 08:00:00
32,1,Vibration,3.78,mm/s,2025-08-25 08:00:00
33,1,Temperature,67.26,°C,2025-08-25 14:00:00
34,1,Vibration,2.54,mm/s,2025-08-25 14:00:00
35,1,Temperature,71.23,°C,2025-08-25 22:00:00
36,1,Vibration,2.41,mm/s,2025-08-25 22:00:00
37,2,Temperature,66.52,°C,2025-08-25 08:00:00
38,2,Vibration,3.35,mm/s,2025-08-25 08:00:00
39,2,Temperature,70.21,°C,2025-08-25 14:00:00
40,2,Vibration,3.79,mm/s,2025-08-25 14:00:00
41,2,Temperature,68.51,°C,2025-08-25 22:00:00
42,2,Vibration,2.49,mm/s,2025-08-25 22:00:00
43,3,Temperature,82.15,°C,2025-08-25 08:00:00
44,3,Vibration,4.92,mm/s,2025-08-25 08:00:00
45,3,Temperature,81.59,°C,2025-08-25 14:00:00
46,3,Vibration,4.99,mm/s,2025-08-25 14:00:00
47,3,Temperature,79.2,°C,2025-08-25 22:00:00
48,3,Vibration,5.14,mm/s,2025-08-25 22:00:00
49,4,Temperature,60.77,°C,2025-08-25 08:00:00
50,4,Vibration,2.14,mm/s,2025-08-25 08:00:00
51,4,Temperature,64.64,°C,2025-08-25 14:00:00
52,4,Vibration,1.37,mm/s,2025-08-25 14:00:00
53,4,Temperature,67.31,°C,2025-08-25 22:00:00
54,4,Vibration,1.47,mm/s,2025-08-25 22:00:00
55,5,Temperature,69.01,°C,2025-08-25 08:00:00
56,5,Vibration,2.05,mm/s,2025-08-25 08:00:00
57,5,Temperature,65.79,°C,2025-08-25 14:00:00
58,5,Vibration,2.96,mm/s,2025-08-25 14:00:00
59,5,Temperature,73.59,°C,2025-08-25 22:00:00
60,5,Vibration,2.76,mm/s,2025-08-25 22:00:00
61,1,Temperature,64.05,°C,2025-08-26 08:00:00
62,1,Vibration,3.48,mm/s,2025-08-26 08:00:00
63,1,Temperature,69.3,°C,2025-08-26 14:00:00
64,1,Vibration,3.03,mm/s,2025-08-26 14:00:00
