machine_id,units_rejected,production_time_hours,target_quantity,total_defects,defect_type_count,quality_defect_rate_percent,total_downtime_hours,downtime_event_count,average_downtime_hours,available_hours,operating_hours,utilization_percent,sensor_value_mean,sensor_value_min,sensor_value_max,sensor_value_std,sensor_reading_count,maintenance_event_count,total_maintenance_downtime,average_maintenance_downtime,total_maintenance_cost,completed_maintenance_count,production_day,production_month,production_day_of_week,is_weekend,shift_encoded,previous_units_produced,previous_rejection_rate,rolling_3_production_avg,rolling_3_rejection_avg
1,48,8.0,1024,10,1,1.04,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,28,7,1,0,0,1008.0,4.18,973.67,4.67
1,47,8.0,988,7,1,0.72,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,25,7,5,1,2,910.0,1.19,915.33,3.35
1,36,8.0,987,12,1,1.18,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,11,8,1,0,0,926.0,5.41,955.67,3.31
2,41,8.0,923,8,1,0.82,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,8,8,5,1,1,967.0,6.12,917.67,6.04
3,41,8.0,806,9,1,1.12,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,12,8,2,0,0,740.0,1.86,761.33,4.58
1,60,8.0,998,14,1,1.34,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,30,7,3,0,1,899.0,7.13,941.0,4.45
1,75,8.0,1004,18,1,1.75,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,17,8,0,0,0,899.0,6.74,933.0,4.0
4,28,8.0,999,5,1,0.51,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,1,8,5,1,1,974.0,4.7,1000.67,5.32
5,59,8.0,936,20,1,2.02,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,4,8,1,0,1,979.0,2.78,907.0,3.23
5,54,8.0,957,12,1,1.25,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,29,7,2,0,2,911.0,4.61,965.67,3.2
4,28,8.0,998,10,1,1.03,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,20,7,0,0,1,903.0,2.9,903.0,2.9
2,63,8.0,913,13,1,1.41,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,21,7,1,0,1,899.0,1.21,930.67,3.18
