machine_id,target_quantity,production_day,production_month,production_day_of_week,is_weekend,shift_encoded,previous_units_produced,previous_rejection_rate,rolling_3_production_avg,rolling_3_rejection_avg
1,1002,24,8,6,1,0,969.0,5.74,969.0,5.74
1,1005,24,8,6,1,1,969.0,5.74,969.0,5.74
1,994,24,8,6,1,2,944.0,4.84,956.5,5.29
2,873,24,8,6,1,0,890.0,6.51,890.0,6.51
2,882,24,8,6,1,1,890.0,6.51,890.0,6.51
2,867,24,8,6,1,2,963.0,1.13,926.5,3.82
3,773,24,8,6,1,0,781.0,2.13,781.0,2.13
3,809,24,8,6,1,1,781.0,2.13,781.0,2.13
3,794,24,8,6,1,2,821.0,2.15,801.0,2.14
4,1004,24,8,6,1,0,903.0,2.9,903.0,2.9
4,1036,24,8,6,1,1,903.0,2.9,903.0,2.9
4,994,24,8,6,1,2,939.0,2.9,921.0,2.9
5,962,24,8,6,1,0,988.0,2.27,988.0,2.27
5,950,24,8,6,1,1,988.0,2.27,988.0,2.27
5,1005,24,8,6,1,2,920.0,4.37,954.0,3.32
1,939,25,8,0,0,0,940.0,1.36,951.0,3.98
1,985,25,8,0,0,1,954.0,2.05,946.0,2.75
1,1013,25,8,0,0,2,925.0,5.42,939.67,2.94
2,884,25,8,0,0,0,930.0,7.19,927.67,4.94
2,911,25,8,0,0,1,899.0,1.21,930.67,3.18
2,898,25,8,0,0,2,857.0,6.85,895.33,5.08
3,817,25,8,0,0,0,809.0,3.8,803.67,2.69
3,777,25,8,0,0,1,751.0,4.33,793.67,3.43
3,803,25,8,0,0,2,746.0,7.21,768.67,5.11
4,1009,25,8,0,0,0,992.0,3.41,944.67,3.07
4,1002,25,8,0,0,1,1009.0,1.56,980.0,2.62
4,1002,25,8,0,0,2,986.0,2.28,995.67,2.42
5,974,25,8,0,0,0,908.0,4.92,938.67,3.85
5,916,25,8,0,0,1,917.0,2.76,915.0,4.02
5,952,25,8,0,0,2,911.0,2.88,912.0,3.52
1,975,26,8,1,0,0,938.0,3.89,939.0,3.79
1,1015,26,8,1,0,1,962.0,1.43,941.67,3.58
1,983,26,8,1,0,2,934.0,7.25,944.67,4.19
2,850,26,8,1,0,0,932.0,3.02,896.0,3.69
2,915,26,8,1,0,1,924.0,6.19,904.33,5.35
2,894,26,8,1,0,2,941.0,5.99,932.33,5.07
3,807,26,8,1,0,0,807.0,5.94,768.0,5.83
3,828,26,8,1,0,1,766.0,6.47,773.0,6.54
3,807,26,8,1,0,2,787.0,5.07,786.67,5.83
4,1003,26,8,1,0,0,975.0,3.56,990.0,2.47
4,999,26,8,1,0,1,972.0,3.09,977.67,2.98
4,977,26,8,1,0,2,1012.0,6.64,986.33,4.43
5,945,26,8,1,0,0,972.0,4.52,933.33,3.39
5,989,26,8,1,0,1,944.0,5.88,942.33,4.43
5,942,26,8,1,0,2,904.0,4.64,940.0,5.01
1,996,27,8,2,0,0,922.0,0.97,939.33,3.22
1,1025,27,8,2,0,1,1012.0,3.8,956.0,4.01
1,969,27,8,2,0,2,953.0,3.05,962.33,2.61
2,912,27,8,2,0,0,937.0,1.47,934.0,4.55
2,868,27,8,2,0,1,891.0,3.68,923.0,3.71
2,907,27,8,2,0,2,914.0,5.87,914.0,3.67
3,799,27,8,2,0,0,780.0,2.99,777.67,4.84
3,812,27,8,2,0,1,779.0,6.14,782.0,4.73
3,779,27,8,2,0,2,836.0,6.17,798.33,5.1
4,989,27,8,2,0,0,1034.0,4.08,1006.0,4.6
4,1013,27,8,2,0,1,983.0,6.2,1009.67,5.64
4,989,27,8,2,0,2,1018.0,6.78,1011.67,5.69
5,965,27,8,2,0,0,928.0,4.43,925.33,4.98
5,954,27,8,2,0,1,916.0,3.78,916.0,4.28
5,941,27,8,2,0,2,941.0,0.95,928.33,3.05
1,993,28,8,3,0,0,938.0,4.29,967.67,3.71
