production_id,machine_id,production_date,shift,units_produced,units_rejected,production_time_hours,target_id,target_date,target_quantity,target_achievement_percent,total_output,rejection_rate_percent,production_rate_per_hour,total_defects,defect_type_count,quality_defect_rate_percent,total_downtime_hours,downtime_event_count,average_downtime_hours,available_hours,operating_hours,utilization_percent,sensor_value_mean,sensor_value_min,sensor_value_max,sensor_value_std,sensor_reading_count,maintenance_event_count,total_maintenance_downtime,average_maintenance_downtime,total_maintenance_cost,completed_maintenance_count,production_day,production_month,production_day_of_week,is_weekend,shift_encoded,previous_units_produced,previous_rejection_rate,rolling_3_production_avg,rolling_3_rejection_avg
1,1,2026-07-20,Morning,969,59,8.0,1,2026-07-20,998,97.09,1028,5.74,121.12,17,1,1.65,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,20,7,0,0,0,,,,
2,1,2026-07-20,Afternoon,944,48,8.0,2,2026-07-20,1012,93.28,992,4.84,118.0,9,1,0.91,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,20,7,0,0,1,969.0,5.74,969.0,5.74
3,1,2026-07-20,Night,940,13,8.0,3,2026-07-20,1003,93.72,953,1.36,117.5,3,1,0.31,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,20,7,0,0,2,944.0,4.84,956.5,5.29
16,1,2026-07-21,Morning,954,20,8.0,16,2026-07-21,974,97.95,974,2.05,119.25,6,1,0.62,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,21,7,1,0,0,940.0,1.36,951.0,3.98
17,1,2026-07-21,Afternoon,925,53,8.0,17,2026-07-21,978,94.58,978,5.42,115.62,14,1,1.43,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,21,7,1,0,1,954.0,2.05,946.0,2.75
18,1,2026-07-21,Night,938,38,8.0,18,2026-07-21,1021,91.87,976,3.89,117.25,12,1,1.23,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,21,7,1,0,2,925.0,5.42,939.67,2.94
31,1,2026-07-22,Morning,962,14,8.0,31,2026-07-22,1025,93.85,976,1.43,120.25,2,1,0.2,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,22,7,2,0,0,938.0,3.89,939.0,3.79
32,1,2026-07-22,Afternoon,934,73,8.0,32,2026-07-22,982,95.11,1007,7.25,116.75,25,1,2.48,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,22,7,2,0,1,962.0,1.43,941.67,3.58
33,1,2026-07-22,Night,922,9,8.0,33,2026-07-22,996,92.57,931,0.97,115.25,2,1,0.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,22,7,2,0,2,934.0,7.25,944.67,4.19
46,1,2026-07-23,Morning,1012,40,8.0,46,2026-07-23,992,102.02,1052,3.8,126.5,9,1,0.86,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,23,7,3,0,0,922.0,0.97,939.33,3.22
47,1,2026-07-23,Afternoon,953,30,8.0,47,2026-07-23,991,96.17,983,3.05,119.12,5,1,0.51,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,23,7,3,0,1,1012.0,3.8,956.0,4.01
48,1,2026-07-23,Night,938,42,8.0,48,2026-07-23,1029,91.16,980,4.29,117.25,8,1,0.82,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,23,7,3,0,2,953.0,3.05,962.33,2.61
61,1,2026-07-24,Morning,893,16,8.0,61,2026-07-24,1019,87.63,909,1.76,111.62,5,1,0.55,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,24,7,4,0,0,938.0,4.29,967.67,3.71
62,1,2026-07-24,Afternoon,933,31,8.0,62,2026-07-24,995,93.77,964,3.22,116.62,12,1,1.24,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,24,7,4,0,1,893.0,1.76,928.0,3.03
